scheme_id,decision,mf_scheme_code,computed_score,et_fund_name,mf_scheme_name,decided_at,notes
43622,approved,151471.0,90.41,Navi ELSS Tax Saver Nifty 50 Index Fund,NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND - DIRECT PLAN GROWTH,2026-05-29T05:55:55.573763+00:00,
1292,rejected,,,Aditya Birla Sun Life Nifty 50 Index Fund,,2026-05-29T08:50:05.172875+00:00,no MFAPI link
44513,rejected,,,Axis BSE Sensex Index Fund,,2026-05-29T08:50:10.926352+00:00,no MFAPI link
42323,rejected,,,Axis Nifty 50 Index Fund,,2026-05-29T08:50:17.403436+00:00,no MFAPI link
45481,rejected,,,Bajaj Finserv Nifty 50 Index Fund,,2026-05-29T08:50:20.800392+00:00,no MFAPI link
42529,rejected,,,Bandhan Nifty 100 Index Fund,,2026-05-29T08:50:24.895061+00:00,no MFAPI link
45213,rejected,,,Bandhan Nifty Alpha Low Volatility 30 Index Fund,,2026-05-29T08:50:29.979604+00:00,no MFAPI link
42986,rejected,,,Bandhan Nifty100 Low Volatility 30 Index Fund,,2026-05-29T08:50:35.057012+00:00,no MFAPI link
45225,rejected,,,DSP BSE Sensex Next 30 Index Fund,,2026-05-29T08:50:40.291354+00:00,no MFAPI link
39611,rejected,,,DSP Nifty 50 Index Fund,,2026-05-29T08:50:45.158553+00:00,no MFAPI link
44852,rejected,,,DSP Nifty Top 10 Equal Weight Index Fund,,2026-05-29T08:50:51.802207+00:00,no MFAPI link
29701,rejected,,,Edelweiss Nifty 50 Index Fund,,2026-05-29T08:50:57.250751+00:00,no MFAPI link
43246,rejected,,,Edelweiss Nifty Next 50 Index Fund,,2026-05-29T08:51:00.754743+00:00,no MFAPI link
1219,rejected,,,HDFC BSE Sensex Index Fund,,2026-05-29T08:51:04.814229+00:00,no MFAPI link
42264,rejected,,,HDFC NIFTY Next 50 Index Fund,,2026-05-29T08:51:08.635398+00:00,no MFAPI link
42103,rejected,,,HDFC NIFTY50 Equal Weight Index Fund,,2026-05-29T08:51:13.216567+00:00,no MFAPI link
1218,rejected,,,HDFC Nifty 50 Index Fund,,2026-05-29T08:51:16.384191+00:00,no MFAPI link
45269,rejected,,,HDFC Nifty100 Quality 30 Index Fund,,2026-05-29T08:51:20.866943+00:00,no MFAPI link
41445,rejected,,,HSBC Nifty Next 50 Index Fund,,2026-05-29T08:51:26.694310+00:00,no MFAPI link
1088,rejected,,,ICICI Prudential Nifty 50 Index Fund,,2026-05-29T08:51:32.361338+00:00,no MFAPI link
45586,rejected,,,ICICI Prudential Nifty Top 15 Equal Weight Index Fund,,2026-05-29T08:51:36.066651+00:00,no MFAPI link
44433,rejected,,,ICICI Prudential Nifty50 Value 20 Index Fund,,2026-05-29T08:51:42.841211+00:00,no MFAPI link
44709,rejected,,,Kotak NIFTY 100 Low Volatility 30 Index Fund,,2026-05-29T08:51:52.958129+00:00,no MFAPI link
45157,rejected,,,Kotak Nifty 50 Equal Weight Index Fund,,2026-05-29T08:51:57.282628+00:00,no MFAPI link
41793,rejected,,,Kotak Nifty Next 50 Index Fund,,2026-05-29T08:52:00.907407+00:00,no MFAPI link
1326,rejected,,,LIC MF BSE Sensex Index Fund,,2026-05-29T08:52:05.039972+00:00,no MFAPI link
11114,rejected,,,LIC MF Nifty Next 50 Index Fund,,2026-05-29T08:52:09.458486+00:00,no MFAPI link
40943,rejected,,,Motilal Oswal Nifty 50 Index Fund,,2026-05-29T08:52:12.726518+00:00,no MFAPI link
44129,rejected,,,Navi BSE Sensex Index Fund,,2026-05-29T08:52:16.284068+00:00,no MFAPI link
42401,rejected,,,Navi Nifty Next 50 Index Fund,,2026-05-29T08:52:19.530928+00:00,no MFAPI link
11147,rejected,,,Nippon India Index Fund - Nifty 50 Plan,,2026-05-29T08:52:25.899402+00:00,no MFAPI link
41757,rejected,,,Nippon India Nifty 50 Value 20 Index Fund,,2026-05-29T08:52:30.976953+00:00,no MFAPI link
43931,rejected,,,SBI BSE Sensex Index Fund,,2026-05-29T08:52:36.123294+00:00,no MFAPI link
41958,rejected,,,SBI Nifty Next 50 Index Fund,,2026-05-29T08:52:39.870573+00:00,no MFAPI link
44438,rejected,,,SBI Nifty50 Equal Weight Index Fund,,2026-05-29T08:52:44.473281+00:00,no MFAPI link
1397,rejected,,,Tata BSE Sensex Index Fund,,2026-05-29T08:52:50.274812+00:00,no MFAPI link
42492,rejected,,,UTI BSE Sensex Index Fund,,2026-05-29T08:52:54.319327+00:00,no MFAPI link
32438,rejected,,,UTI Nifty 50 Index Fund,,2026-05-29T08:52:58.251500+00:00,no MFAPI link
36974,rejected,,,UTI Nifty Next 50 Index Fund,,2026-05-29T08:53:02.668662+00:00,no MFAPI link
42611,rejected,,,Axis Nifty Midcap 50 Index Fund,,2026-05-29T08:53:28.551866+00:00,no MFAPI link
45009,rejected,,,Baroda BNP Paribas Nifty Midcap 150 Index Fund,,2026-05-29T08:53:37.634918+00:00,no MFAPI link
42763,rejected,,,DSP Nifty Midcap 150 Quality 50 Index Fund,,2026-05-29T08:53:44.608945+00:00,no MFAPI link
43881,rejected,,,HDFC NIFTY Midcap 150 Index Fund,,2026-05-29T08:53:53.143170+00:00,no MFAPI link
45389,rejected,,,Kotak Nifty Midcap 150 Index Fund,,2026-05-29T08:53:58.321769+00:00,no MFAPI link
