fund_name,category,fund_house,scheme_id,url,status,benchmark,aum_cr,expense_ratio,launch_date
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,https://www.etmoney.com/mutual-funds/hdfc-large-cap-fund/portfolio-details/31883,ACTIVE,NIFTY 100 TRI,43019,1.02,1996-10-11
ICICI Prudential Bluechip Fund,Large Cap,ICICI Prudential Mutual Fund,14566,https://www.etmoney.com/mutual-funds/icici-prudential-bluechip-fund/portfolio-details/14566,ACTIVE,NIFTY 100 TRI,62145,0.93,2008-05-23
SBI Large Cap Fund,Large Cap,SBI Mutual Fund,2893,https://www.etmoney.com/mutual-funds/sbi-large-cap-fund/portfolio-details/2893,ACTIVE,NIFTY 100 TRI,48752,0.89,2006-02-14
Nippon India Large Cap Fund,Large Cap,Nippon India Mutual Fund,5077,https://www.etmoney.com/mutual-funds/nippon-india-large-cap-fund/portfolio-details/5077,ACTIVE,NIFTY 100 TRI,19832,0.94,2007-08-08
Axis Large Cap Fund,Large Cap,Axis Mutual Fund,10434,https://www.etmoney.com/mutual-funds/axis-large-cap-fund/portfolio-details/10434,ACTIVE,NIFTY 100 TRI,34881,1.10,2009-01-05
Mirae Asset Large Cap Fund,Large Cap,Mirae Asset Mutual Fund,6550,https://www.etmoney.com/mutual-funds/mirae-asset-large-cap-fund/portfolio-details/6550,ACTIVE,NIFTY 100 TRI,41227,0.84,2008-04-04
Kotak Large Cap Fund,Large Cap,Kotak Mutual Fund,32273,https://www.etmoney.com/mutual-funds/kotak-large-cap-fund/portfolio-details/32273,ACTIVE,NIFTY 100 TRI,6892,1.01,1998-02-23
Canara Robeco Large Cap Fund,Large Cap,Canara Robeco Mutual Fund,10960,https://www.etmoney.com/mutual-funds/canara-robeco-large-cap-fund/portfolio-details/10960,ACTIVE,NIFTY 100 TRI,14527,0.92,2010-08-20
Tata Large Cap Fund,Large Cap,Tata Mutual Fund,32210,https://www.etmoney.com/mutual-funds/tata-large-cap-fund/portfolio-details/32210,ACTIVE,NIFTY 100 TRI,3211,1.14,1998-10-16
UTI Large Cap Fund,Large Cap,UTI Mutual Fund,31802,https://www.etmoney.com/mutual-funds/uti-large-cap-fund/portfolio-details/31802,ACTIVE,NIFTY 100 TRI,12458,0.96,1992-05-11
Franklin India Large Cap Fund,Large Cap,Franklin Templeton Mutual Fund,31893,https://www.etmoney.com/mutual-funds/franklin-india-large-cap-fund/portfolio-details/31893,ACTIVE,NIFTY 100 TRI,6734,1.08,1993-12-01
Aditya Birla Sun Life Large Cap Fund,Large Cap,Aditya Birla Sun Life Mutual Fund,1247,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-large-cap-fund/portfolio-details/1247,ACTIVE,NIFTY 100 TRI,24567,1.03,2002-08-30
DSP Large Cap Fund,Large Cap,DSP Mutual Fund,1386,https://www.etmoney.com/mutual-funds/dsp-large-cap-fund/portfolio-details/1386,ACTIVE,NIFTY 100 TRI,8421,0.98,2007-01-11
LIC MF Large Cap Fund,Large Cap,Lic Mutual Fund,31937,https://www.etmoney.com/mutual-funds/lic-mf-large-cap-fund/portfolio-details/31937,ACTIVE,NIFTY 100 TRI,1890,1.22,1991-04-10
Bandhan Large Cap Fund,Large Cap,Bandhan Mutual Fund,3207,https://www.etmoney.com/mutual-funds/bandhan-large-cap-fund/portfolio-details/3207,ACTIVE,NIFTY 100 TRI,2315,1.19,2008-08-27
Invesco India Largecap Fund,Large Cap,Invesco Mutual Fund,10234,https://www.etmoney.com/mutual-funds/invesco-india-largecap-fund/portfolio-details/10234,ACTIVE,NIFTY 100 TRI,1298,1.15,2008-04-10
Baroda BNP Paribas Large Cap Fund,Large Cap,Baroda BNP Paribas Mutual Fund,2156,https://www.etmoney.com/mutual-funds/baroda-bnp-paribas-large-cap-fund/portfolio-details/2156,ACTIVE,NIFTY 100 TRI,1543,1.18,2004-01-05
