fund_name,category,fund_house,scheme_id,url,status,benchmark,aum_cr,expense_ratio,launch_date,holdings_rows,rank_3y,rank_1y,star_rating,return_since_inception_new,return_1y,return_3y,return_5y,return_since_inception,consistency_score,category_rank,sharpe_ratio,alpha,beta,std_dev,notes
Bandhan Aggressive Hybrid Passive FoF,Aggressive Hybrid,Bandhan Mutual Fund,10500,https://www.etmoney.com/mutual-funds/bandhan-aggressive-hybrid-passive-fof/portfolio-details/10500,NO_HOLDINGS,CRISIL Hybrid 35+65 Aggressive Index,20.0,0.57,2010-01-04,0.0,,,,,,,,,,,,,,,
Edelweiss Nifty LargeMidcap250 Plus 8-13 Yr G-Sec 70:30 Index Fund,Aggressive Hybrid,,46241,https://www.etmoney.com/mutual-funds/edelweiss-nifty-largemidcap250-plus-8-13-yr-g-sec-7030-index-fund/portfolio-details/46241,NO_HOLDINGS,Nifty LargeMidcap250 Plus 8-13 yr G-Sec 70:30,42.0,1.44,,0.0,,,,,,,,,,,,,,,
HSBC Aggressive Hybrid Active FoF,Aggressive Hybrid,HSBC Mutual Fund,25378,https://www.etmoney.com/mutual-funds/hsbc-aggressive-hybrid-active-fof/portfolio-details/25378,NO_HOLDINGS,CRISIL Hybrid 35+65 Aggressive Index,45.0,1.46,2014-04-09,0.0,,,,,,,,,,,,,,,
Capitalmind Arbitrage Fund,Arbitrage,,46178,https://www.etmoney.com/mutual-funds/capitalmind-arbitrage-fund/portfolio-details/46178,NO_HOLDINGS,NIFTY 50 Arbitrage TRI,18.0,0.98,,0.0,,,,,,,,,,,,,,,
Helios Arbitrage Fund,Arbitrage,,46210,https://www.etmoney.com/mutual-funds/helios-arbitrage-fund/portfolio-details/46210,NO_HOLDINGS,NIFTY 50 Arbitrage TRI,48.0,1.01,,0.0,,,,,,,,,,,,,,,
Bandhan Multi-Asset Passive FoF,Balanced Hybrid,Bandhan Mutual Fund,10502,https://www.etmoney.com/mutual-funds/bandhan-multi-asset-passive-fof/portfolio-details/10502,NO_HOLDINGS,,20.0,0.29,2010-01-04,0.0,,,,,,,,,,,,,,,
Franklin India Dynamic Asset Allocation Active FoF,Dynamic Asset Allocation,Franklin Templeton Mutual Fund,1750,https://www.etmoney.com/mutual-funds/franklin-india-dynamic-asset-allocation-active-fof/portfolio-details/1750,NO_HOLDINGS,CRISIL Hybrid 50+50 Moderate Index,1232.0,1.99,2003-10-17,0.0,,,,,,,,,,,,,,,
SBI Dynamic Asset Allocation Active FoF,Dynamic Asset Allocation,SBI Mutual Fund,45808,https://www.etmoney.com/mutual-funds/sbi-dynamic-asset-allocation-active-fof/portfolio-details/45808,NO_HOLDINGS,NIFTY 50 Hybrid Composite Debt 50:50 Index,2322.0,1.34,2025-08-25,0.0,,,,,,,,,,,,,,,
The Wealth Company Balanced Advantage Fund,Dynamic Asset Allocation,The Wealth Company Mutual Fund,46095,https://www.etmoney.com/mutual-funds/the-wealth-company-balanced-advantage-fund/portfolio-details/46095,NO_HOLDINGS,CRISIL Hybrid 50+50 Moderate Index,45.0,3.04,2026-01-27,0.0,,,,,,,,,,,,,,,
Old Bridge Flexi Cap Fund,Flexi Cap,,46166,https://www.etmoney.com/mutual-funds/old-bridge-flexi-cap-fund/portfolio-details/46166,NO_HOLDINGS,BSE 500 TRI,153.0,2.47,,,,,,,,,,,,,,,,,
Aditya Birla Sun Life Global Excellence Equity FoF,International,Aditya Birla Sun Life Mutual Fund,6082,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-global-excellence-equity-fof/portfolio-details/6082,NO_HOLDINGS,MSCI World,216.0,1.28,2007-11-20,0.0,,,,,,,,,,,,,,,
Axis Global Equity Alpha FoF,International,Axis Mutual Fund,41566,https://www.etmoney.com/mutual-funds/axis-global-equity-alpha-fof/portfolio-details/41566,NO_HOLDINGS,MSCI World Net Return,2291.0,1.58,2020-09-04,0.0,,,,,,,,,,,,,,,
