scheme_id,mf_scheme_code,isin,et_fund_name,match_score,match_method,matched_at,notes
1233,119581,INF903J01MJ3,Sundaram Mid Cap Fund,100.0,auto,2026-05-29T10:42:17.666299+00:00,auto_ok from match report
1247,119528,INF209K01YY7,Aditya Birla Sun Life Large Cap Fund,100.0,auto,2026-05-29T10:42:17.663993+00:00,auto_ok from match report
1286,119620,INF209K01Q30,,99.6,manual,2026-05-29T10:10:59.750520+00:00,bulk_grid
1318,120334,INF109K015K4,ICICI Prudential Multi Asset Fund,100.0,auto,2026-05-29T10:42:17.667028+00:00,auto_ok from match report
1328,120030,INF336L01CM7,,83.08,manual,2026-05-29T10:18:26.146574+00:00,bulk_grid
1360,138312,INF663L01GR4,PGIM India Large Cap Fund,100.0,auto,2026-05-29T10:42:17.664935+00:00,auto_ok from match report
1386,119250,INF740K01PR3,DSP Large Cap Fund,100.0,auto,2026-05-29T10:42:17.664303+00:00,auto_ok from match report
1546,118589,INF204K01XO1,,88.6,manual,2026-05-29T09:39:28.275830+00:00,bulk_grid
1657,119354,INF955L01AG0,Baroda BNP Paribas Multi Cap Fund,100.0,auto,2026-05-29T10:42:17.667977+00:00,auto_ok from match report
1674,118275,INF760K01EF0,,97.27,manual,2026-05-29T09:39:28.179882+00:00,bulk_grid
1883,138386,INF663L01GX2,PGIM India Aggressive Hybrid Equity Fund,100.0,auto,2026-05-29T10:42:17.656549+00:00,auto_ok from match report
1898,120046,INF336L01DH5,HSBC Flexi Cap Fund,83.08,manual,2026-05-29T10:42:06.949645+00:00,manual_rework_review9
1960,120726,INF789F01UA6,UTI Mid Cap Fund,70.38,manual,2026-05-29T10:42:07.061282+00:00,manual_rework_review9
1963,120733,INF789F01SN3,UTI Banking and Financial Services Fund,100.0,auto,2026-05-29T10:42:17.672929+00:00,auto_ok from match report
2151,149154,nan,,88.79,manual,2026-05-29T09:39:28.234059+00:00,bulk_grid
2156,150187,INF251K01HN7,Baroda BNP Paribas Large Cap Fund,100.0,auto,2026-05-29T10:42:17.664199+00:00,auto_ok from match report
2178,120158,INF174K01LF9,Kotak Large & Midcap Fund,100.0,auto,2026-05-29T10:42:17.663459+00:00,auto_ok from match report
2257,120381,INF109K011N7,ICICI Prudential Midcap Fund,100.0,auto,2026-05-29T10:42:17.665833+00:00,auto_ok from match report
2328,118736,INF204K01G94,,85.0,manual,2026-05-29T09:39:28.146152+00:00,bulk_grid
2412,120164,INF174K01KT2,,84.07,manual,2026-05-29T09:39:28.288275+00:00,bulk_grid
2414,119589,INF903J01NK9,Sundaram Small Cap Fund,100.0,auto,2026-05-29T10:42:17.675040+00:00,auto_ok from match report
2420,118510,INF090I01IN1,Franklin India Large & Mid Cap Fund,100.0,auto,2026-05-29T10:42:17.663100+00:00,auto_ok from match report
2455,118650,INF204K01XF9,,79.23,manual,2026-05-29T09:39:28.265024+00:00,bulk_grid
2460,118278,INF760K01EI4,Canara Robeco Large and Mid Cap Fund,100.0,auto,2026-05-29T10:42:17.662948+00:00,auto_ok from match report
2477,119716,INF200K01TP4,SBI Midcap Fund,100.0,auto,2026-05-29T10:42:17.666247+00:00,auto_ok from match report
2483,119062,INF179K01XZ1,HDFC Hybrid Equity Fund,100.0,auto,2026-05-29T10:42:17.655690+00:00,auto_ok from match report
2605,118794,INF204K01B08,,84.47,manual,2026-05-29T09:39:28.105919+00:00,bulk_grid
2611,118419,INF194K01V89,Bandhan Large & Mid Cap Fund,100.0,auto,2026-05-29T10:42:17.662794+00:00,auto_ok from match report
2630,118803,INF204K01L55,,82.73,manual,2026-05-29T09:39:28.170952+00:00,bulk_grid
2671,119718,INF200K01UG1,SBI Flexicap Fund,100.0,auto,2026-05-29T10:42:17.662223+00:00,auto_ok from match report
2694,119771,INF174K01LC6,Kotak Arbitrage Fund,100.0,auto,2026-05-29T10:42:17.657582+00:00,auto_ok from match report
2698,118424,INF194K01W62,Bandhan Flexi Cap Fund,100.0,auto,2026-05-29T10:42:17.661157+00:00,auto_ok from match report
2749,119773,INF174K01LI3,,88.12,manual,2026-05-29T09:39:28.166867+00:00,bulk_grid
2811,150159,INF251K01HF3,Baroda BNP Paribas ELSS Tax Saver Fund,100.0,auto,2026-05-29T10:42:17.659794+00:00,auto_ok from match report
2825,119843,INF200K01TZ3,SBI Multi Asset Allocation Fund,100.0,auto,2026-05-29T10:42:17.667565+00:00,auto_ok from match report
2829,118525,INF090I01IQ4,Franklin India Small Cap Fund,100.0,auto,2026-05-29T10:42:17.674244+00:00,auto_ok from match report
2893,119598,INF200K01QX4,SBI Large Cap Fund,100.0,auto,2026-05-29T10:42:17.665091+00:00,auto_ok from match report
2922,120079,INF336L01EE0,,94.0,manual,2026-05-29T09:39:28.161787+00:00,bulk_grid
3066,150212,INF251K01HQ0,,98.52,manual,2026-05-29T09:39:28.232180+00:00,bulk_grid
3207,118479,INF194K01Z44,Bandhan Large Cap Fund,100.0,auto,2026-05-29T10:42:17.664148+00:00,auto_ok from match report
3253,120482,INF192K01BN6,JM Arbitrage Fund,100.0,auto,2026-05-29T10:42:17.657528+00:00,auto_ok from match report
3271,120795,INF789FB1RG6,UTI Arbitrage Fund,100.0,auto,2026-05-29T10:42:17.658106+00:00,auto_ok from match report
3532,119071,INF740K01PX1,DSP Midcap Fund,100.0,auto,2026-05-29T10:42:17.665575+00:00,auto_ok from match report
3709,120364,INF109K016O4,ICICI Prudential Equity Arbitrage Fund,100.0,auto,2026-05-29T10:42:17.657357+00:00,auto_ok from match report
3713,120377,INF109K012B0,ICICI Prudential Balanced Advantage Fund,100.0,auto,2026-05-29T10:42:17.658727+00:00,auto_ok from match report
3720,120416,INF205K01NT8,Invesco India ELSS Tax Saver Fund,100.0,auto,2026-05-29T10:42:17.660159+00:00,auto_ok from match report
3778,118474,INF194K01Y60,Bandhan Arbitrage Fund,100.0,auto,2026-05-29T10:42:17.657035+00:00,auto_ok from match report
3792,119242,INF740K01OK1,DSP ELSS Tax Saver Fund,100.0,auto,2026-05-29T10:42:17.659899+00:00,auto_ok from match report
3918,120826,INF966L01648,Quant Large and Mid Cap Fund,100.0,auto,2026-05-29T10:42:17.663678+00:00,auto_ok from match report
3959,119566,INF903J01PR9,,98.52,manual,2026-05-29T09:39:28.207567+00:00,bulk_grid
4077,119775,INF174K01LT0,Kotak Midcap Fund,100.0,auto,2026-05-29T10:42:17.665987+00:00,auto_ok from match report
4087,120403,INF205K01MV6,,96.3,manual,2026-05-29T09:39:28.235808+00:00,bulk_grid
4647,120401,INF205K01KR8,Invesco India Arbitrage Fund,100.0,auto,2026-05-29T10:42:17.657461+00:00,auto_ok from match report
4678,140175,INF843K01AL0,,100.0,manual,2026-05-29T10:10:59.602262+00:00,bulk_grid
4813,119556,INF209K01WN4,Aditya Birla Sun Life Small Cap Fund,100.0,auto,2026-05-29T10:42:17.673753+00:00,auto_ok from match report
4874,118989,INF179K01XQ0,HDFC Mid Cap Fund,100.0,auto,2026-05-29T10:42:17.665730+00:00,auto_ok from match report
4876,119212,INF740K01QD1,DSP Small Cap Fund,100.0,auto,2026-05-29T10:42:17.674135+00:00,auto_ok from match report
5050,119076,INF740K01PI2,DSP Flexi Cap Fund,100.0,auto,2026-05-29T10:42:17.661316+00:00,auto_ok from match report
5077,118632,INF204K01XI3,,79.23,manual,2026-05-29T09:39:28.223077+00:00,bulk_grid
5153,120357,INF205K01MA0,Invesco India Large & Mid Cap Fund,100.0,auto,2026-05-29T10:42:17.663356+00:00,auto_ok from match report
5373,120333,INF205K01LN5,Invesco India Balanced Advantage Fund,100.0,auto,2026-05-29T10:42:17.658830+00:00,auto_ok from match report
5453,120591,INF109K015M0,ICICI Prudential Smallcap Fund,100.0,auto,2026-05-29T10:42:17.674401+00:00,auto_ok from match report
5841,118931,INF179K01UU8,HDFC Arbitrage Fund,100.0,auto,2026-05-29T10:42:17.657306+00:00,auto_ok from match report
6034,140228,INF843K01AO4,Edelweiss Mid Cap Fund,100.0,auto,2026-05-29T10:42:17.665626+00:00,auto_ok from match report
6190,118559,INF090I01IZ5,Franklin Asian Equity Fund,100.0,auto,2026-05-29T10:42:17.662486+00:00,auto_ok from match report
