mf_scheme_code,decision,scheme_id,computed_score,mf_scheme_name,et_fund_name,decided_at,notes
103490,approved,34462.0,100.0,Quantum Value Fund - Direct Plan Growth Option,Quantum Value Fund,2026-06-01T05:35:04.525947+00:00,bulk_grid
151458,approved,43612.0,100.0,Hdfc Mnc Fund,HDFC MNC Fund Direct-Growth,2026-06-02T03:49:22.734112+00:00,batch_scrape_review accept (rebuilt)
147306,approved,40423.0,100.0,Dsp Quant Fund,DSP Quant Fund Direct-Growth,2026-06-02T03:49:22.735504+00:00,batch_scrape_review accept (rebuilt)
148972,approved,41977.0,100.0,Iti Value Fund,ITI Value Fund Direct-Growth,2026-06-02T03:49:22.736672+00:00,batch_scrape_review accept (rebuilt)
148595,approved,41662.0,100.0,Dsp Value Fund,DSP Value Fund Direct-Growth,2026-06-02T03:49:22.737847+00:00,batch_scrape_review accept (rebuilt)
153204,approved,45220.0,100.0,Uti Quant Fund,UTI Quant Fund Direct-Growth,2026-06-02T03:49:22.739416+00:00,batch_scrape_review accept (rebuilt)
152910,approved,44939.0,100.0,Kotak Mnc Fund,Kotak MNC Fund Direct-Growth,2026-06-02T03:49:22.740783+00:00,batch_scrape_review accept (rebuilt)
152415,approved,44507.0,100.0,Quant Psu Fund,Quant PSU Fund Direct-Growth,2026-06-02T03:49:22.741869+00:00,batch_scrape_review accept (rebuilt)
153154,approved,45163.0,100.0,Sbi Quant Fund,SBI Quant Fund Direct-Growth,2026-06-02T03:49:22.742932+00:00,batch_scrape_review accept (rebuilt)
151113,approved,15836.0,100.0,Hsbc Value Fund,HSBC Value Fund Direct-Growth,2026-06-02T03:49:22.743953+00:00,batch_scrape_review accept (rebuilt)
149166,approved,42164.0,100.0,Axis Value Fund,Axis Value Fund Direct-Growth,2026-06-02T03:49:22.745031+00:00,batch_scrape_review accept (rebuilt)
148993,approved,41997.0,100.0,Axis Quant Fund,Axis Quant Fund Direct-Growth,2026-06-02T03:49:22.746948+00:00,batch_scrape_review accept (rebuilt)
151777,approved,43941.0,100.0,Iti Focused Fund,ITI Focused Fund Direct-Growth,2026-06-02T03:49:22.748489+00:00,batch_scrape_review accept (rebuilt)
151036,approved,15847.0,100.0,Hsbc Midcap Fund,HSBC Midcap Fund Direct-Growth,2026-06-02T03:49:22.749614+00:00,batch_scrape_review accept (rebuilt)
149335,approved,42313.0,100.0,Quant Value Fund,Quant Value Fund Direct-Growth,2026-06-02T03:49:22.750671+00:00,batch_scrape_review accept (rebuilt)
149091,approved,42097.0,100.0,Uti Focused Fund,UTI Focused Fund Direct-Growth,2026-06-02T03:49:22.751737+00:00,batch_scrape_review accept (rebuilt)
154177,approved,46119.0,100.0,Sbi Quality Fund,SBI Quality Fund Direct-Growth,2026-06-02T03:49:22.752764+00:00,batch_scrape_review accept (rebuilt)
151881,approved,44034.0,100.0,Kotak Quant Fund,Kotak Quant Fund Direct-Growth,2026-06-02T03:49:22.753816+00:00,batch_scrape_review accept (rebuilt)
148411,approved,41493.0,100.0,Hsbc Focused Fund,HSBC Focused Fund Direct-Growth,2026-06-02T03:49:22.755281+00:00,batch_scrape_review accept (rebuilt)
152018,approved,37696.0,100.0,Lic Mf Value Fund,LIC MF Value Fund Direct-Growth,2026-06-02T03:49:22.757248+00:00,batch_scrape_review accept (rebuilt)
147757,approved,40878.0,100.0,Tata Focused Fund,Tata Focused Fund Direct-Growth,2026-06-02T03:49:22.758498+00:00,batch_scrape_review accept (rebuilt)
151750,approved,43919.0,100.0,Hdfc Defence Fund,HDFC Defence Fund Direct-Growth,2026-06-02T03:49:22.759570+00:00,batch_scrape_review accept (rebuilt)
147727,approved,40849.0,100.0,Kotak Pioneer Fund,Kotak Pioneer Fund Direct-Growth,2026-06-02T03:49:22.760667+00:00,batch_scrape_review accept (rebuilt)
147473,approved,40575.0,100.0,Kotak Focused Fund,Kotak Focused Fund Direct-Growth,2026-06-02T03:49:22.762045+00:00,batch_scrape_review accept (rebuilt)
153083,approved,45127.0,100.0,Axis Momentum Fund,Axis Momentum Fund Direct-Growth,2026-06-02T03:49:22.763156+00:00,batch_scrape_review accept (rebuilt)
147492,approved,40585.0,100.0,Union Focused Fund,Union Focused Fund Direct-Growth,2026-06-02T03:49:22.764207+00:00,batch_scrape_review accept (rebuilt)
149318,approved,42295.0,100.0,360 One Quant Fund,360 ONE Quant Fund Direct-Growth,2026-06-02T03:49:22.765261+00:00,batch_scrape_review accept (rebuilt)
151130,approved,25653.0,100.0,Hsbc Small Cap Fund,HSBC Small Cap Fund Direct-Growth,2026-06-02T03:49:22.766306+00:00,batch_scrape_review accept (rebuilt)
103734,approved,3196.0,100.0,Quantum Liquid Fund,Quantum Liquid Fund Direct-Growth,2026-06-02T03:49:22.767347+00:00,batch_scrape_review accept (rebuilt)
154149,approved,46123.0,100.0,Kotak Services Fund,Kotak Services Fund Direct-Growth,2026-06-02T03:49:22.768322+00:00,batch_scrape_review accept (rebuilt)
152010,approved,35224.0,100.0,Lic Mf Focused Fund,LIC MF Focused Fund Direct-Growth,2026-06-02T03:49:22.769335+00:00,batch_scrape_review accept (rebuilt)
152189,approved,44262.0,100.0,Quant Momentum Fund,Quant Momentum Fund Direct-Growth,2026-06-02T03:49:22.770348+00:00,batch_scrape_review accept (rebuilt)
153094,approved,45130.0,100.0,Quantum Ethical Fund,Quantum Ethical Fund Direct-Growth,2026-06-02T03:49:22.771587+00:00,batch_scrape_review accept (rebuilt)
154210,approved,46140.0,100.0,Trustmf Mid Cap Fund,TRUSTMF Mid Cap Fund Direct-Growth,2026-06-02T03:49:22.772883+00:00,batch_scrape_review accept (rebuilt)
154257,approved,46212.0,100.0,Helios Arbitrage Fund,Helios Arbitrage Fund Direct-Growth,2026-06-02T03:49:22.774085+00:00,batch_scrape_review accept (rebuilt)
