scheme_id,mf_scheme_code,et_fund_name,notes
43622,151471,Navi ELSS Tax Saver Nifty 50 Index Fund,
33762,140382,,bulk_grid
33105,139527,,bulk_grid
11660,151122,,bulk_grid
2605,118794,,bulk_grid
36872,143614,,bulk_grid
41483,148401,,bulk_grid
11236,118585,,bulk_grid
45931,153979,,bulk_grid
44196,152109,,bulk_grid
44888,152849,,bulk_grid
44207,152132,,bulk_grid
27860,131355,,bulk_grid
24276,127850,,bulk_grid
42897,150481,,bulk_grid
32508,118968,,bulk_grid
33424,139872,,bulk_grid
2328,118736,,bulk_grid
44532,152468,,bulk_grid
43447,151267,,bulk_grid
32517,119060,,bulk_grid
2922,120079,,bulk_grid
2749,119773,,bulk_grid
2630,118803,,bulk_grid
40581,147481,,bulk_grid
31868,149570,,bulk_grid
42929,150587,,bulk_grid
1674,118275,,bulk_grid
45662,153738,,bulk_grid
10258,120166,,bulk_grid
42082,149094,,bulk_grid
45827,153872,,bulk_grid
27208,130860,,bulk_grid
39932,146772,,bulk_grid
40809,147704,,bulk_grid
31961,118678,,bulk_grid
44448,152382,,bulk_grid
3959,119566,,bulk_grid
44298,152226,,bulk_grid
41987,148980,,bulk_grid
32273,120152,,bulk_grid
44427,152354,,bulk_grid
5077,118632,,bulk_grid
43155,150797,,bulk_grid
45717,153728,,bulk_grid
3066,150212,,bulk_grid
2151,149154,,bulk_grid
4087,120403,,bulk_grid
33825,152002,,bulk_grid
40523,147445,,bulk_grid
31962,118668,,bulk_grid
42925,150584,,bulk_grid
43473,151307,,bulk_grid
44688,152639,,bulk_grid
44405,152314,,bulk_grid
45960,153999,,bulk_grid
43907,151745,,bulk_grid
41932,148921,,bulk_grid
44697,152651,,bulk_grid
2455,118650,,bulk_grid
44143,152071,,bulk_grid
45279,153266,,bulk_grid
41656,148623,,bulk_grid
1546,118589,,bulk_grid
44409,152321,,bulk_grid
44935,152915,,bulk_grid
41035,147946,,bulk_grid
38760,145678,,bulk_grid
25651,120069,,bulk_grid
2412,120164,,bulk_grid
11077,118778,,bulk_grid
32489,120847,,bulk_grid
38316,145110,,bulk_grid
4678,140175,,bulk_grid
44859,152821,,bulk_grid
28921,133710,,bulk_grid
40868,147840,,bulk_grid
45550,153534,,bulk_grid
31881,119202,,bulk_grid
32037,120665,,bulk_grid
40856,147750,,bulk_grid
1286,119620,,bulk_grid
31894,118533,,bulk_grid
44540,152474,,bulk_grid
42348,149383,,bulk_grid
44194,152107,,bulk_grid
44057,151885,,bulk_grid
1328,120030,,bulk_grid
1898,120046,HSBC Flexi Cap Fund,manual_rework_review9
1960,120726,UTI Mid Cap Fund,manual_rework_review9
26816,151138,HSBC Arbitrage Fund,manual_rework_review9
32397,149601,Sundaram Aggressive Hybrid Fund,manual_rework_review9
41570,148507,Sundaram Large Cap Fund,manual_rework_review9
45843,153891,The Wealth Company Arbitrage Fund,manual_rework_review9
45869,154269,Samco Small Cap Fund,manual_rework_review9
