mf_scheme_code,et_slug,et_scheme_id,notes,et_fund_name
118273,canara-robeco-consumption-fund-direct-growth,16163,manual_et_link,
118305,canara-robeco-liquid-direct-plan-growth,16178,manual_et_link,
118309,canara-robeco-conservative-hybrid-fund-direct-growth,15337,manual_et_link,
118364,bandhan-liquid-fund-direct-plan-growth,16035,manual_et_link,
118477,bandhan-equity-savings-fund-direct-growth,17411,manual_et_link,
118491,bandhan-conservative-hybrid-fund-direct-plan-growth,16088,manual_et_link,
118574,franklin-india-conservative-hybrid-fund-a-direct-growth,17386,manual_et_link,
118577,franklin-india-liquid-fund-super-institutional-plan-direct-growth,16411,manual_et_link,
118701,nippon-india-liquid-fund-direct-growth,15667,manual_et_link,
118724,nippon-india-consumption-fund-direct-growth,15698,manual_et_link,
118726,nippon-india-conservative-hybrid-fund-direct-growth,15711,manual_et_link,
118837,mirae-asset-great-consumer-fund-direct-growth,16147,manual_et_link,
118859,mirae-asset-liquid-fund-direct-growth,16117,manual_et_link,
118929,hdfc-elss-tax-saver-fund-direct-plan-growth,15727,manual_et_link,
119091,hdfc-liquid-direct-plan-growth,15734,manual_et_link,
119118,hdfc-hybrid-debt-fund-direct-growth,16016,manual_et_link,
119125,dsp-liquidity-direct-growth,15678,manual_et_link,
119128,hdfc-equity-savings-direct-plan-growth,15685,manual_et_link,
119164,navi-liquid-fund-direct-growth,16036,manual_et_link,
119247,dsp-india-tiger-the-infrastructure-growth-and-economic-reforms-fund-direct-growth,15977,manual_et_link,
119303,union-liquid-fund-direct-growth,15984,manual_et_link,
119367,baroda-bnp-paribas-large-cap-fund-direct-growth,15286,manual_et_link,
119369,bank-of-india-liquid-fund-direct-growth,15841,manual_et_link,
119415,baroda-bnp-paribas-liquid-direct-fund-growth,15341,manual_et_link,
119568,aditya-birla-sun-life-liquid-fund-direct-growth,15367,manual_et_link,
119572,sundaram-multi-asset-allocation-fund-direct-growth,44407,manual_et_link,
119591,aditya-birla-sun-life-consumption-direct-fund-growth,15401,manual_et_link,
119595,sundaram-consumption-fund-direct-growth,15730,manual_et_link,
119635,sundaram-conservative-hybrid-fund-direct-plan-growth,16786,manual_et_link,
119661,aditya-birla-sun-life-elss-tax-saver-direct-growth,15456,manual_et_link,
119686,sundaram-money-market-fund-direct-growth,38210,manual_et_link,
119709,sbi-esg-exclusionary-strategy-fund-direct-plan-growth,15786,manual_et_link,
119766,kotak-liquid-direct-growth,15932,manual_et_link,
119800,sbi-liquid-fund-direct-plan-growth,15869,manual_et_link,
119839,sbi-conservative-hybrid-fund-direct-growth,17072,manual_et_link,
119861,tata-liquid-fund-direct-growth,16286,manual_et_link,
120002,baroda-bnp-paribas-midcap-fund-direct-growth,15293,manual_et_link,
120034,hsbc-infrastructure-fund-direct-growth,15842,manual_et_link,
120038,hsbc-liquid-fund-direct-growth,15852,manual_et_link,
120073,hsbc-conservative-hybrid-fund-direct-growth,16617,manual_et_link,
120147,baroda-bnp-paribas-elss-tax-saver-fund-direct-growth,15299,manual_et_link,
120154,kotak-debt-hybrid-fund-direct-growth,17351,manual_et_link,
120197,icici-prudential-liquid-fund-direct-plan-growth,15528,manual_et_link,
120249,lic-mf-liquid-fund-direct-growth,16385,manual_et_link,
120276,lic-mf-conservative-hybrid-fund-direct-growth,17015,manual_et_link,
120304,uti-liquid-direct-growth,15325,manual_et_link,
120323,icici-prudential-value-direct-growth,15389,manual_et_link,
120389,axis-liquid-direct-fund-growth,15315,manual_et_link,
120480,axis-conservative-hybrid-fund-direct-growth,16893,manual_et_link,
120537,invesco-india-liquid-fund-direct-growth,16343,manual_et_link,
120575,sbi-consumption-opportunities-fund-direct-growth,17081,manual_et_link,
120731,uti-transportation-and-logistics-fund-direct-growth,15522,manual_et_link,
120779,uti-conservative-hybrid-fund-direct-growth,15371,manual_et_link,
120780,uti-india-consumer-fund-direct-growth,15461,manual_et_link,
120837,quant-liquid-direct-fund-growth,16587,manual_et_link,
125345,360-one-liquid-fund-direct-growth,21882,manual_et_link,
131373,kotak-equity-savings-fund-direct-growth,27688,manual_et_link,
132995,aditya-birla-sun-life-equity-savings-fund-direct-growth,28190,manual_et_link,
133516,aditya-birla-sun-life-manufacturing-equity-fund-direct-growth,28712,manual_et_link,
134594,nippon-india-equity-savings-fund-direct-growth,29719,manual_et_link,
134643,sbi-equity-savings-fund-direct-growth,29779,manual_et_link,
135120,axis-equity-savings-fund-direct-growth,30202,manual_et_link,
135805,tata-india-consumer-fund-direct-growth,30859,manual_et_link,
136567,dsp-equity-savings-fund-direct-growth,31638,manual_et_link,
138299,pgim-india-liquid-fund-direct-plan-growth,15172,manual_et_link,
138376,pgim-india-equity-savings-fund-direct-growth,15959,manual_et_link,
140196,edelweiss-liquid-direct-growth,16139,manual_et_link,
140241,edelweiss-elss-tax-saver-fund-direct-growth,17318,manual_et_link,
140347,edelweiss-equity-savings-fund-direct-growth,27749,manual_et_link,
140444,mahindra-manulife-equity-savings-fund-direct-growth,33847,manual_et_link,
141813,baroda-bnp-paribas-focused-fund-direct-growth,35140,manual_et_link,
143269,parag-parikh-liquid-fund-direct-growth,36497,manual_et_link,
