stock_name,fund_count,avg_allocation_percent
ICICI BANK,167,5.100538922155688
HDFC BANK,156,5.3826282051282055
STATE BANK OF INDIA,147,2.869047619047619
LARSEN & TOUBRO,146,2.6521917808219175
AXIS BANK,146,2.6247945205479453
ETERNAL,146,1.9464383561643837
BHARTI AIRTEL,145,3.0259310344827584
RELIANCE INDUSTRIES,143,3.8006293706293706
INFOSYS,131,2.307480916030534
KOTAK MAHINDRA BANK,125,2.2436
MAHINDRA & MAHINDRA,119,1.8025210084033614
NTPC,104,1.8371153846153847
MULTI COMMODITY EXCHANGE OF INDIA,102,1.9744117647058823
BHARAT ELECTRONICS,100,1.6449
MARUTI SUZUKI INDIA,95,1.673578947368421
SHRIRAM FINANCE,94,1.6443617021276595
PB FINTECH,94,1.4676595744680851
SUN PHARMACEUTICAL INDUSTRIES,92,1.4795652173913043
INTERGLOBE AVIATION,92,1.3381521739130435
MAX FINANCIAL SERVICES,91,1.56
ULTRATECH CEMENT,88,1.5737500000000002
PERSISTENT SYSTEMS,88,1.267159090909091
TATA STEEL,87,1.386551724137931
TECH MAHINDRA,87,1.2606896551724136
BAJAJ FINANCE,85,1.9774117647058824
THE FEDERAL BANK,83,2.063734939759036
TITAN COMPANY,83,1.5563855421686748
DIXON TECHNOLOGIES (INDIA),83,0.9986746987951808
TATA CONSULTANCY SERVICES,80,1.5939999999999999
CUMMINS INDIA,80,1.452125
TVS MOTOR COMPANY,78,1.6387179487179488
VISHAL MEGA MART,74,1.1614864864864864
TRENT,71,1.0705633802816903
CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY,70,1.1974285714285713
ITC,69,1.7614492753623188
COFORGE,68,1.309264705882353
SWIGGY,68,0.978529411764706
HINDALCO INDUSTRIES,67,1.3013432835820895
LG ELECTRONICS INDIA,67,1.053731343283582
GE VERNOVA T&D INDIA,66,1.8551515151515152
DIVI'S LABORATORIES,65,1.4126153846153846
JK CEMENT,64,1.42671875
SAMVARDHANA MOTHERSON INTERNATIONAL,63,1.8134920634920635
NAVIN FLUORINE INTERNATIONAL,62,1.4937096774193548
RADICO KHAITAN,62,1.3682258064516128
UNO MINDA,62,1.3566129032258065
BLUE STAR,62,0.9825806451612904
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY,61,1.3724590163934427
MAX HEALTHCARE INSTITUTE,61,1.360983606557377
CG POWER AND INDUSTRIAL SOLUTIONS,61,1.3342622950819671
SCHAEFFLER INDIA,61,1.2877049180327869
TATA MOTORS,60,1.1138333333333332
INDUSIND BANK,59,1.656271186440678
KEI INDUSTRIES,59,1.334406779661017
