scheme_id,fund_name,category,fund_house,sector,allocation_percent,granularity,source,scrape_date,as_of_date
15522,UTI Transportation and Logistics Fund Direct-Growth,Sectoral/Thematic,,Automobile,69.63000000000001,sector,ETMoney,2026-06-02,30/04/2026
15522,UTI Transportation and Logistics Fund Direct-Growth,Sectoral/Thematic,,Services,21.33,sector,ETMoney,2026-06-02,30/04/2026
15522,UTI Transportation and Logistics Fund Direct-Growth,Sectoral/Thematic,,Others,5.680000000000001,sector,ETMoney,2026-06-02,30/04/2026
15522,UTI Transportation and Logistics Fund Direct-Growth,Sectoral/Thematic,,Capital Goods,2.48,sector,ETMoney,2026-06-02,30/04/2026
15522,UTI Transportation and Logistics Fund Direct-Growth,Sectoral/Thematic,,Metals & Mining,0.7,sector,ETMoney,2026-06-02,30/04/2026
15522,UTI Transportation and Logistics Fund Direct-Growth,Sectoral/Thematic,,Sovereign,0.13,sector,ETMoney,2026-06-02,30/04/2026
15522,UTI Transportation and Logistics Fund Direct-Growth,Sectoral/Thematic,,Financial,0.06,sector,ETMoney,2026-06-02,30/04/2026
28712,Aditya Birla Sun Life Manufacturing Equity Fund Direct-Growth,Sectoral/Thematic,,Metals & Mining,23.0,sector,ETMoney,2026-06-02,30/04/2026
28712,Aditya Birla Sun Life Manufacturing Equity Fund Direct-Growth,Sectoral/Thematic,,Automobile,22.450000000000003,sector,ETMoney,2026-06-02,30/04/2026
28712,Aditya Birla Sun Life Manufacturing Equity Fund Direct-Growth,Sectoral/Thematic,,Capital Goods,18.81,sector,ETMoney,2026-06-02,30/04/2026
28712,Aditya Birla Sun Life Manufacturing Equity Fund Direct-Growth,Sectoral/Thematic,,Healthcare,10.570000000000002,sector,ETMoney,2026-06-02,30/04/2026
28712,Aditya Birla Sun Life Manufacturing Equity Fund Direct-Growth,Sectoral/Thematic,,Consumer Discretionary,6.72,sector,ETMoney,2026-06-02,30/04/2026
28712,Aditya Birla Sun Life Manufacturing Equity Fund Direct-Growth,Sectoral/Thematic,,Energy,5.54,sector,ETMoney,2026-06-02,30/04/2026
28712,Aditya Birla Sun Life Manufacturing Equity Fund Direct-Growth,Sectoral/Thematic,,Consumer Staples,4.82,sector,ETMoney,2026-06-02,30/04/2026
28712,Aditya Birla Sun Life Manufacturing Equity Fund Direct-Growth,Sectoral/Thematic,,Chemicals,2.63,sector,ETMoney,2026-06-02,30/04/2026
28712,Aditya Birla Sun Life Manufacturing Equity Fund Direct-Growth,Sectoral/Thematic,,Materials,2.05,sector,ETMoney,2026-06-02,30/04/2026
28712,Aditya Birla Sun Life Manufacturing Equity Fund Direct-Growth,Sectoral/Thematic,,Others,1.5699999999999998,sector,ETMoney,2026-06-02,30/04/2026
28712,Aditya Birla Sun Life Manufacturing Equity Fund Direct-Growth,Sectoral/Thematic,,Textiles,1.06,sector,ETMoney,2026-06-02,30/04/2026
28712,Aditya Birla Sun Life Manufacturing Equity Fund Direct-Growth,Sectoral/Thematic,,Construction,0.77,sector,ETMoney,2026-06-02,30/04/2026
41693,Axis Innovation Fund Direct-Growth,Sectoral/Thematic,,Services,33.49999999999999,sector,ETMoney,2026-06-02,30/04/2026
41693,Axis Innovation Fund Direct-Growth,Sectoral/Thematic,,Capital Goods,13.74,sector,ETMoney,2026-06-02,30/04/2026
41693,Axis Innovation Fund Direct-Growth,Sectoral/Thematic,,Financial,9.7,sector,ETMoney,2026-06-02,30/04/2026
41693,Axis Innovation Fund Direct-Growth,Sectoral/Thematic,,Chemicals,7.95,sector,ETMoney,2026-06-02,30/04/2026
41693,Axis Innovation Fund Direct-Growth,Sectoral/Thematic,,Automobile,7.92,sector,ETMoney,2026-06-02,30/04/2026
41693,Axis Innovation Fund Direct-Growth,Sectoral/Thematic,,Technology,6.469999999999999,sector,ETMoney,2026-06-02,30/04/2026
41693,Axis Innovation Fund Direct-Growth,Sectoral/Thematic,,Metals & Mining,4.27,sector,ETMoney,2026-06-02,30/04/2026
41693,Axis Innovation Fund Direct-Growth,Sectoral/Thematic,,Healthcare,4.09,sector,ETMoney,2026-06-02,30/04/2026
41693,Axis Innovation Fund Direct-Growth,Sectoral/Thematic,,Consumer Discretionary,3.83,sector,ETMoney,2026-06-02,30/04/2026
41693,Axis Innovation Fund Direct-Growth,Sectoral/Thematic,,Communication,2.65,sector,ETMoney,2026-06-02,30/04/2026
41693,Axis Innovation Fund Direct-Growth,Sectoral/Thematic,,Others,2.3,sector,ETMoney,2026-06-02,30/04/2026
41693,Axis Innovation Fund Direct-Growth,Sectoral/Thematic,,Consumer Staples,1.32,sector,ETMoney,2026-06-02,30/04/2026
41693,Axis Innovation Fund Direct-Growth,Sectoral/Thematic,,Energy,1.25,sector,ETMoney,2026-06-02,30/04/2026
41693,Axis Innovation Fund Direct-Growth,Sectoral/Thematic,,Insurance,0.98,sector,ETMoney,2026-06-02,30/04/2026
42505,Kotak Manufacture in India Fund Direct-Growth,Sectoral/Thematic,,Automobile,23.36,sector,ETMoney,2026-06-02,30/04/2026
42505,Kotak Manufacture in India Fund Direct-Growth,Sectoral/Thematic,,Capital Goods,20.540000000000003,sector,ETMoney,2026-06-02,30/04/2026
42505,Kotak Manufacture in India Fund Direct-Growth,Sectoral/Thematic,,Healthcare,15.31,sector,ETMoney,2026-06-02,30/04/2026
42505,Kotak Manufacture in India Fund Direct-Growth,Sectoral/Thematic,,Metals & Mining,12.4,sector,ETMoney,2026-06-02,30/04/2026
42505,Kotak Manufacture in India Fund Direct-Growth,Sectoral/Thematic,,Energy,12.39,sector,ETMoney,2026-06-02,30/04/2026
42505,Kotak Manufacture in India Fund Direct-Growth,Sectoral/Thematic,,Materials,4.69,sector,ETMoney,2026-06-02,30/04/2026
42505,Kotak Manufacture in India Fund Direct-Growth,Sectoral/Thematic,,Consumer Staples,2.62,sector,ETMoney,2026-06-02,30/04/2026
42505,Kotak Manufacture in India Fund Direct-Growth,Sectoral/Thematic,,Chemicals,2.47,sector,ETMoney,2026-06-02,30/04/2026
42505,Kotak Manufacture in India Fund Direct-Growth,Sectoral/Thematic,,Services,2.11,sector,ETMoney,2026-06-02,30/04/2026
42505,Kotak Manufacture in India Fund Direct-Growth,Sectoral/Thematic,,Others,1.5299999999999998,sector,ETMoney,2026-06-02,30/04/2026
42505,Kotak Manufacture in India Fund Direct-Growth,Sectoral/Thematic,,Consumer Discretionary,1.04,sector,ETMoney,2026-06-02,30/04/2026
42505,Kotak Manufacture in India Fund Direct-Growth,Sectoral/Thematic,,Communication,0.77,sector,ETMoney,2026-06-02,30/04/2026
42505,Kotak Manufacture in India Fund Direct-Growth,Sectoral/Thematic,,Textiles,0.42,sector,ETMoney,2026-06-02,30/04/2026
42505,Kotak Manufacture in India Fund Direct-Growth,Sectoral/Thematic,,Unclassified,0.35,sector,ETMoney,2026-06-02,30/04/2026
43065,ICICI Prudential Transportation and Logistics Fund Direct-Growth,Sectoral/Thematic,,Automobile,67.81000000000002,sector,ETMoney,2026-06-02,30/04/2026
43065,ICICI Prudential Transportation and Logistics Fund Direct-Growth,Sectoral/Thematic,,Services,26.380000000000003,sector,ETMoney,2026-06-02,30/04/2026
43065,ICICI Prudential Transportation and Logistics Fund Direct-Growth,Sectoral/Thematic,,Others,3.36,sector,ETMoney,2026-06-02,30/04/2026
43065,ICICI Prudential Transportation and Logistics Fund Direct-Growth,Sectoral/Thematic,,Capital Goods,1.7000000000000002,sector,ETMoney,2026-06-02,30/04/2026
43065,ICICI Prudential Transportation and Logistics Fund Direct-Growth,Sectoral/Thematic,,Metals & Mining,0.38,sector,ETMoney,2026-06-02,30/04/2026
43065,ICICI Prudential Transportation and Logistics Fund Direct-Growth,Sectoral/Thematic,,Chemicals,0.36,sector,ETMoney,2026-06-02,30/04/2026
43069,Bandhan Transportation and Logistics Fund Direct-Growth,Sectoral/Thematic,,Automobile,67.69000000000001,sector,ETMoney,2026-06-02,30/04/2026
43069,Bandhan Transportation and Logistics Fund Direct-Growth,Sectoral/Thematic,,Services,14.530000000000005,sector,ETMoney,2026-06-02,30/04/2026
43069,Bandhan Transportation and Logistics Fund Direct-Growth,Sectoral/Thematic,,Others,7.08,sector,ETMoney,2026-06-02,30/04/2026
43069,Bandhan Transportation and Logistics Fund Direct-Growth,Sectoral/Thematic,,Capital Goods,5.21,sector,ETMoney,2026-06-02,30/04/2026
43069,Bandhan Transportation and Logistics Fund Direct-Growth,Sectoral/Thematic,,Energy,2.17,sector,ETMoney,2026-06-02,30/04/2026
43069,Bandhan Transportation and Logistics Fund Direct-Growth,Sectoral/Thematic,,Textiles,1.68,sector,ETMoney,2026-06-02,30/04/2026
