fund_a,fund_b,common_stocks,similarity_score,normalized_score
Franklin India Balanced Advantage Fund,Franklin India Conservative Hybrid Fund A Direct-Growth,41,22.64,100.0
HSBC Small Cap Fund,HSBC Small Cap Fund Direct-Growth,107,98.45,100.0
HDFC ELSS Tax Saver Fund,HDFC ELSS Tax Saver Fund Direct Plan-Growth,55,96.57,100.0
Franklin India Aggressive Hybrid Fund,Franklin India Conservative Hybrid Fund A Direct-Growth,41,22.64,100.0
Edelweiss ELSS Tax Saver Fund,Edelweiss ELSS Tax Saver Fund Direct-Growth,95,98.75,100.0
HSBC Midcap Fund,HSBC Midcap Fund Direct-Growth,79,98.62,100.0
Sundaram Balanced Advantage Fund,Sundaram Balanced Advantage Fund Direct-Growth,63,74.49,100.0
UTI Value Fund,UTI Conservative Hybrid Fund Direct-Growth,59,24.4,100.0
HSBC Infrastructure Fund,HSBC Infrastructure Fund Direct-Growth,52,97.92,100.0
Nippon India Aggressive Hybrid Fund,Nippon India Aggressive Hybrid Fund Direct-Growth,76,72.8,100.0
HSBC ELSS Tax saver Fund,HSBC ELSS Tax Saver Fund Direct-Growth,76,98.97,100.0
Union Multi Asset Allocation Fund,Union Multi Asset Allocation Fund Direct-Growth,74,68.51,100.0
Sundaram Multi Asset Allocation Fund,Sundaram Multi Asset Allocation Fund Direct-Growth,59,68.98,100.0
HSBC Business Cycles Fund,HSBC Business Cycles Fund Direct-Growth,69,98.32,100.0
Baroda BNP Paribas ELSS Tax Saver Fund,Baroda BNP Paribas ELSS Tax Saver Fund Direct-Growth,47,95.19,100.0
Baroda BNP Paribas Midcap Fund,Baroda BNP Paribas Midcap Fund Direct-Growth,66,93.96,100.0
Baroda BNP Paribas Large Cap Fund,Baroda BNP Paribas Large Cap Fund Direct-Growth,55,96.94,100.0
Sundaram Arbitrage Fund,Sundaram Arbitrage Fund Direct-Growth,33,70.18,100.0
Parag Parikh Dynamic Asset Allocation Fund,Parag Parikh Conservative Hybrid Fund Direct-Growth,10,11.05,99.73
Sundaram ELSS Tax Saver Fund,Sundaram Flexi Cap Fund,56,97.11,99.39
Invesco India Multi Asset Allocation Fund,Parag Parikh Large Cap Fund Direct-Growth,69,35.21,99.35
Quantum ELSS Tax Saver Fund,Quantum Value Fund,31,92.72,99.14
360 ONE ELSS Tax Saver Nifty 50 Index Fund,Navi ELSS Tax Saver Nifty 50 Index Fund,50,97.88,98.45
360 ONE FlexiCap Fund,360 ONE Multi Asset Allocation Fund,39,24.32,98.38
WhiteOak Capital Balanced Advantage Fund,WhiteOak Capital Multi Asset Allocation Fund,102,29.35,97.57
Aditya Birla Sun Life ELSS Tax Saver Fund,Aditya Birla Sun Life ELSS Tax Saver Direct-Growth,59,94.89,96.79
Sundaram Aggressive Hybrid Fund,Sundaram Multi Asset Allocation Fund Direct-Growth,54,66.48,96.38
Sundaram Aggressive Hybrid Fund,Sundaram Multi Asset Allocation Fund,54,66.48,96.38
360 ONE Balanced Hybrid Fund,360 ONE Multi Asset Allocation Fund,38,23.82,96.36
Sundaram Balanced Advantage Fund,Sundaram Multi Asset Allocation Fund Direct-Growth,55,65.75,95.32
Sundaram Multi Asset Allocation Fund Direct-Growth,Sundaram Balanced Advantage Fund Direct-Growth,55,65.75,95.32
Sundaram Multi Asset Allocation Fund,Sundaram Balanced Advantage Fund Direct-Growth,55,65.75,95.32
Sundaram Balanced Advantage Fund,Sundaram Multi Asset Allocation Fund,55,65.75,95.32
Franklin India Aggressive Hybrid Fund,Franklin India Balanced Advantage Fund,45,63.72,94.39
Sundaram Aggressive Hybrid Fund,Sundaram Balanced Advantage Fund Direct-Growth,54,66.05,93.95
Sundaram Aggressive Hybrid Fund,Sundaram Balanced Advantage Fund,54,66.05,93.95
Sundaram Multi Cap Fund,Sundaram Multi Cap Fund Direct-Growth,60,88.6,93.29
DSP Aggressive Hybrid Fund,DSP Equity Savings Fund Direct-Growth,27,29.59,93.23
WhiteOak Capital Flexi Cap Fund,WhiteOak Capital Balanced Hybrid Fund,102,47.91,93.21
UTI Large & Mid Cap Fund,UTI Aggressive Hybrid Fund,62,64.83,93.16
WhiteOak Capital ELSS Tax Saver Fund,WhiteOak Capital Balanced Hybrid Fund,97,47.83,93.05
Parag Parikh Large Cap Fund Direct-Growth,Axis Conservative Hybrid Fund Direct-Growth,31,18.45,92.71
DSP Large Cap Fund,DSP Equity Savings Fund Direct-Growth,27,29.41,92.66
WhiteOak Capital Balanced Hybrid Fund,WhiteOak Capital Balanced Advantage Fund,98,47.52,92.45
WhiteOak Capital Flexi Cap Fund,WhiteOak Capital Multi Asset Allocation Fund,102,27.62,91.82
Axis Aggressive Hybrid Fund,Axis Conservative Hybrid Fund Direct-Growth,31,18.27,91.81
360 ONE FlexiCap Fund,360 ONE Balanced Hybrid Fund,45,41.7,91.35
Bank of India Balanced Advantage Fund,Nippon India Conservative Hybrid Fund Direct-Growth,44,10.55,91.11
Kotak Large Cap Fund,LIC MF Conservative Hybrid Fund Direct-Growth,9,15.23,90.49
WhiteOak Capital Balanced Hybrid Fund,WhiteOak Capital Multi Asset Allocation Fund,102,27.21,90.46
Parag Parikh Large Cap Fund Direct-Growth,Nippon India Conservative Hybrid Fund Direct-Growth,43,10.47,90.41
Kotak Flexicap Fund,LIC MF Conservative Hybrid Fund Direct-Growth,8,15.12,89.84
Sundaram ELSS Tax Saver Fund,Sundaram Conservative Hybrid Fund Direct Plan-Growth,18,17.85,89.7
Sundaram Flexi Cap Fund,Sundaram Conservative Hybrid Fund Direct Plan-Growth,18,17.85,89.7
Edelweiss Multi Asset Allocation Fund,Edelweiss Equity Savings Fund Direct-Growth,32,19.14,89.36
WhiteOak Capital ELSS Tax Saver Fund,WhiteOak Capital Flexi Cap Fund,122,81.84,89.07
HDFC Large and Mid Cap Fund,HDFC Hybrid Debt Fund Direct-Growth,28,17.4,88.69
Nippon India Conservative Hybrid Fund Direct-Growth,Aditya Birla Sun Life Equity Savings Fund Direct-Growth,42,10.25,88.51
Axis Balanced Advantage Fund,Axis Conservative Hybrid Fund Direct-Growth,30,17.61,88.49
360 ONE ELSS Tax Saver Nifty 50 Index Fund,Invesco India Multi Asset Allocation Fund,42,31.35,88.46
Navi ELSS Tax Saver Nifty 50 Index Fund,Invesco India Multi Asset Allocation Fund,42,31.35,88.46
Edelweiss Large Cap Fund,Axis Conservative Hybrid Fund Direct-Growth,29,17.58,88.34
360 ONE ELSS Tax Saver Nifty 50 Index Fund,Nippon India Conservative Hybrid Fund Direct-Growth,40,10.21,88.17
Navi ELSS Tax Saver Nifty 50 Index Fund,Nippon India Conservative Hybrid Fund Direct-Growth,40,10.21,88.17
Aditya Birla Sun Life Flexi Cap Fund,LIC MF Conservative Hybrid Fund Direct-Growth,8,14.81,88.0
WhiteOak Capital ELSS Tax Saver Fund,WhiteOak Capital Multi Asset Allocation Fund,96,26.36,87.63
HDFC Large and Mid Cap Fund,Nippon India Conservative Hybrid Fund Direct-Growth,38,10.14,87.56
Franklin India ELSS Tax Saver Fund,Franklin India Flexi Cap Fund,42,82.7,87.45
Aditya Birla Sun Life Large Cap Fund,Sundaram Conservative Hybrid Fund Direct Plan-Growth,17,17.4,87.44
Edelweiss Large Cap Fund,Invesco India Multi Asset Allocation Fund,46,30.98,87.42
Franklin India Flexi Cap Fund,Franklin India Conservative Hybrid Fund A Direct-Growth,30,19.79,87.41
Bandhan Large Cap Fund,Bandhan Aggressive Hybrid Fund,62,68.47,87.39
SBI Equity Minimum Variance Fund,Nippon India Conservative Hybrid Fund Direct-Growth,40,10.1,87.22
Parag Parikh Large Cap Fund Direct-Growth,Sundaram Conservative Hybrid Fund Direct Plan-Growth,17,17.35,87.19
Aditya Birla Sun Life Large Cap Fund,Axis Conservative Hybrid Fund Direct-Growth,26,17.35,87.19
ICICI Prudential Balanced Advantage Fund,Axis Conservative Hybrid Fund Direct-Growth,29,17.35,87.19
