mf_scheme_code,nav_date,nav
103490,2026-05-26,124.28
103734,2026-05-26,37.0481
111549,2026-05-26,124.14
118267,2026-05-26,193.59
118269,2026-05-26,70.04
118272,2026-05-26,409.9
118273,2026-05-26,120.0
118275,2026-05-26,376.34
118278,2026-05-26,283.98
118285,2026-05-26,196.49
118305,2026-05-26,3338.3653
118309,2026-05-26,112.1981
118344,2023-07-27,49.56
118345,2023-07-27,2475.0029
118364,2026-05-26,3362.3155
118419,2026-05-26,164.424
118421,2026-05-26,104.502
118424,2026-05-26,226.675
118452,2023-07-27,24.8048
118469,2026-05-26,57.537
118473,2026-05-26,175.169
118474,2026-05-26,37.0516
118477,2026-05-26,35.713
118479,2026-05-26,87.94
118481,2026-05-26,165.728
118491,2026-05-26,36.3092
118494,2026-05-26,782.786
118510,2026-05-26,203.8094
118525,2026-05-26,194.9105
118531,2026-05-26,1098.5253
118533,2026-05-26,3058.0379
118535,2026-05-26,1751.8523
118537,2026-05-26,497.7456
118539,2026-05-26,277.8648
118540,2026-05-26,1561.5753
118546,2026-05-26,302.204
118557,2026-05-26,169.2757
118559,2026-05-26,49.0976
118564,2026-05-26,113.7676
118574,2026-05-26,100.557
118577,2026-05-26,4184.3193
118585,2026-05-26,30.3141
118589,2026-05-26,695.1193
118610,2018-05-20,2831.6355
118615,2026-05-26,59.54
118617,2026-05-26,94.56
118620,2026-05-26,135.07
118624,2026-05-26,74.4
118632,2026-05-26,99.4356
118636,2016-11-25,1529.8657
118650,2026-05-26,329.2857
118668,2026-05-26,4878.7186
118678,2026-05-26,1590.0783
118692,2026-05-26,133.2652
118701,2026-05-26,6815.6416
118724,2026-05-26,207.2039
118726,2026-05-26,67.3785
118736,2026-05-26,203.8623
118759,2026-05-26,606.005
118763,2026-05-26,417.3064
118769,2026-05-26,77.4427
118778,2026-05-26,196.7598
118784,2026-05-26,245.5709
118794,2026-05-26,118.5383
118803,2026-05-26,143.5595
118825,2026-05-26,123.899
118834,2026-05-26,173.396
118837,2026-05-26,105.938
118859,2026-05-26,2939.7923
118866,2026-05-26,194.22
118868,2026-05-26,59.02
118870,2026-05-26,164.25
118872,2026-05-26,125.56
118876,2026-05-26,142.87
118879,2026-05-26,71.01
118883,2026-05-26,232.28
118893,2020-11-03,1990.1202
118929,2022-01-14,625.385
118931,2026-05-21,33.766
118935,2026-05-26,843.16
118950,2026-05-26,254.939
