mf_scheme_code,scheme_name_raw,fund_name_base,isin_growth,fund_house,scheme_category,scheme_type,sync_status,nav_rows,first_nav_date,last_nav_date
103490,Quantum Value Fund - Direct Plan Growth Option,Quantum Value Fund,INF082J01036,Quantum Mutual Fund,Equity Scheme - Value Fund,Open Ended Schemes,ok,2808,2015-01-01,2026-05-26
103734,Quantum Liquid Fund - Direct Plan Growth Option,Quantum Liquid Fund,INF082J01127,Quantum Mutual Fund,Debt Scheme - Liquid Fund,Open Ended Schemes,ok,3316,2015-01-01,2026-05-26
111549,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,Quantum ELSS Tax Saver Fund,INF082J01069,Quantum Mutual Fund,Equity Scheme - ELSS,Open Ended Schemes,ok,2808,2015-01-01,2026-05-26
118267,CANARA ROBECO INFRASTRUCTURE FUND - DIRECT PLAN - GROWTH OPTION,CANARA ROBECO INFRASTRUCTURE FUND,INF760K01FO9,Canara Robeco Mutual Fund,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118269,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,CANARA ROBECO LARGE CAP FUND,INF760K01FR2,Canara Robeco Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118272,CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN - GROWTH OPTION,CANARA ROBECO EQUITY HYBRID FUND,INF760K01EZ8,Canara Robeco Mutual Fund,Hybrid Scheme - Aggressive Hybrid Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118273,CANARA ROBECO CONSUMPTION FUND - DIRECT PLAN - GROWTH OPTION,CANARA ROBECO CONSUMPTION FUND,INF760K01DU1,Canara Robeco Mutual Fund,Equity Scheme - Sectoral/ Thematic,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118275,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION,CANARA ROBECO FLEXICAP FUND,INF760K01EF0,Canara Robeco Mutual Fund,Equity Scheme - Flexi Cap Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118278,CANARA ROBECO LARGE AND MID CAP FUND - DIRECT PLAN - GROWTH OPTION,CANARA ROBECO LARGE AND MID CAP FUND,INF760K01EI4,Canara Robeco Mutual Fund,Equity Scheme - Large & Mid Cap Fund,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118285,CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN - GROWTH OPTION,CANARA ROBECO ELSS TAX SAVER,INF760K01EL8,Canara Robeco Mutual Fund,Equity Scheme - ELSS,Open Ended Schemes,ok,2806,2015-01-01,2026-05-26
118305,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,CANARA ROBECO LIQUID FUND,INF760K01FU6,Canara Robeco Mutual Fund,Debt Scheme - Liquid Fund,Open Ended Schemes,ok,3396,2015-01-01,2026-05-26
118309,CANARA ROBECO CONSERVATIVE HYBRID FUND - DIRECT PLAN - GROWTH OPTION,CANARA ROBECO CONSERVATIVE HYBRID FUND,INF760K01GB4,Canara Robeco Mutual Fund,Hybrid Scheme - Conservative Hybrid Fund,Open Ended Schemes,ok,2754,2015-01-01,2026-05-26
118344,IDBI India Top 100 Equity Fund Growth Direct,IDBI India Top 100 Equity Fund,nan,IDBI Mutual Fund,Equity Scheme - Large Cap Fund,Open Ended Schemes,ok,2113,2015-01-01,2023-07-27
118345,IDBI Liquid Fund Growth Direct,IDBI Liquid Fund,nan,IDBI Mutual Fund,Formerly Known as IIFL Mutual Fund,360 ONE Mutual Fund,ok,2593,2015-01-01,2023-07-27
118364,BANDHAN LIQUID Fund -Direct Plan-Growth,BANDHAN LIQUID Fund,INF194K01I60,Bandhan Mutual Fund,Debt Scheme - Liquid Fund,Open Ended Schemes,ok,3561,2015-01-01,2026-05-26
118419,Bandhan Large & Mid Cap Fund - Direct Plan - Growth,Bandhan Large & Mid Cap Fund,INF194K01V89,Bandhan Mutual Fund,Equity Scheme - Large & Mid Cap Fund,Open Ended Schemes,ok,2814,2015-01-01,2026-05-26
