fund_name,category,fund_house,scheme_id,stock_name,sector,allocation_percent,value,change_3m_percent,change_6m_percent,change_1y_percent,scrape_date,source
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,ICICI BANK ,FINANCIAL,9.39,"3,330 Cr",9.0,9.17,10.12,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,HDFC BANK ,FINANCIAL,8.0,"2,834 Cr",9.34,9.51,10.19,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,BHARTI AIRTEL ,COMMUNICATION,5.99,"2,124 Cr",6.18,5.85,5.72,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,RELIANCE INDUSTRIES ,ENERGY,5.4,"1,915 Cr",6.09,4.8,4.04,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,KOTAK MAHINDRA BANK ,FINANCIAL,5.13,"1,820 Cr",4.42,3.82,4.41,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,TITAN COMPANY ,CONSUMER DISCRETIONARY,4.59,"1,628 Cr",4.11,3.38,2.02,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,INFOSYS ,TECHNOLOGY,3.99,"1,415 Cr",3.15,3.25,4.73,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,TORRENT PHARMACEUTICALS ,HEALTHCARE,3.79,"1,342 Cr",3.02,2.84,0.2,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,AXIS BANK ,FINANCIAL,3.51,"1,243 Cr",3.35,3.17,5.21,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,BAJAJ AUTO ,AUTOMOBILE,3.09,"1,094 Cr",2.75,2.71,1.77,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,LUPIN ,HEALTHCARE,3.01,"1,068 Cr",2.4,2.31,1.89,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,BAJAJ FINSERV ,FINANCIAL,2.64,935.1 Cr,2.09,2.13,,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,AMBUJA CEMENTS ,MATERIALS,2.52,894.52 Cr,3.05,3.32,0.68,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,NTPC ,ENERGY,2.33,827.19 Cr,2.41,3.74,5.41,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY ,FINANCIAL,2.0,709.82 Cr,2.2,2.21,1.74,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,ETERNAL ,SERVICES,1.95,692.97 Cr,2.06,2.56,1.42,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,TATA MOTORS ,AUTOMOBILE,1.91,677.33 Cr,1.76,,,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,STATE BANK OF INDIA,FINANCIAL,1.76,622.64 Cr,1.54,1.45,1.14,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,INTERGLOBE AVIATION ,SERVICES,1.67,591.23 Cr,1.51,1.51,,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,UNITED SPIRITS ,CONSUMER STAPLES,1.64,582.04 Cr,1.7,1.62,0.55,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,MANKIND PHARMA ,HEALTHCARE,1.55,549.48 Cr,1.48,1.5,1.23,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,VISHAL MEGA MART ,SERVICES,1.46,518.83 Cr,1.27,1.48,,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,TATA CONSUMER PRODUCTS ,CONSUMER STAPLES,1.45,513.07 Cr,1.48,1.49,1.4,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,HAVELLS INDIA ,CAPITAL GOODS,1.45,515.43 Cr,1.52,1.03,0.77,2026-05-11,ETMoney
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,MAX HEALTHCARE INSTITUTE ,HEALTHCARE,1.36,483.12 Cr,0.98,,,2026-05-11,ETMoney
