scheme_id,et_fund_name,category,fund_house
43350,360 ONE ELSS Tax Saver Nifty 50 Index Fund,ELSS,360 One Mutual Fund
43622,Navi ELSS Tax Saver Nifty 50 Index Fund,ELSS,Navi Mutual Fund
41971,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund,Large Cap Index,Aditya Birla Sun Life Mutual Fund
1292,Aditya Birla Sun Life Nifty 50 Index Fund,Large Cap Index,Aditya Birla Sun Life Mutual Fund
42525,Aditya Birla Sun Life Nifty Next 50 Index Fund,Large Cap Index,Aditya Birla Sun Life Mutual Fund
44513,Axis BSE Sensex Index Fund,Large Cap Index,Axis Mutual Fund
40769,Axis Nifty 100 Index Fund,Large Cap Index,Axis Mutual Fund
42323,Axis Nifty 50 Index Fund,Large Cap Index,Axis Mutual Fund
42409,Axis Nifty Next 50 Index Fund,Large Cap Index,Axis Mutual Fund
45481,Bajaj Finserv Nifty 50 Index Fund,Large Cap Index,Bajaj Finserv Mutual Fund
45461,Bajaj Finserv Nifty Next 50 Index Fund,Large Cap Index,Bajaj Finserv Mutual Fund
42529,Bandhan Nifty 100 Index Fund,Large Cap Index,Bandhan Mutual Fund
10787,Bandhan Nifty 50 Index Fund,Large Cap Index,Bandhan Mutual Fund
45213,Bandhan Nifty Alpha Low Volatility 30 Index Fund,Large Cap Index,Bandhan Mutual Fund
45338,Bandhan Nifty Next 50 Index Fund,Large Cap Index,Bandhan Mutual Fund
42986,Bandhan Nifty100 Low Volatility 30 Index Fund,Large Cap Index,Bandhan Mutual Fund
44350,Baroda BNP Paribas NIFTY 50 Index Fund,Large Cap Index,Baroda BNP Paribas Mutual Fund
45225,DSP BSE Sensex Next 30 Index Fund,Large Cap Index,DSP Mutual Fund
35180,DSP Nifty 50 Equal Weight Index Fund,Large Cap Index,DSP Mutual Fund
39611,DSP Nifty 50 Index Fund,Large Cap Index,DSP Mutual Fund
39641,DSP Nifty Next 50 Index Fund,Large Cap Index,DSP Mutual Fund
44852,DSP Nifty Top 10 Equal Weight Index Fund,Large Cap Index,DSP Mutual Fund
32926,Edelweiss Nifty 100 Quality 30 Index Fund,Large Cap Index,Edelweiss Mutual Fund
29701,Edelweiss Nifty 50 Index Fund,Large Cap Index,Edelweiss Mutual Fund
44668,Edelweiss Nifty Alpha Low Volatility 30 Index Fund,Large Cap Index,Edelweiss Mutual Fund
43246,Edelweiss Nifty Next 50 Index Fund,Large Cap Index,Edelweiss Mutual Fund
32500,Franklin India NSE Nifty 50 Index,Large Cap Index,Franklin Templeton Mutual Fund
1219,HDFC BSE Sensex Index Fund,Large Cap Index,HDFC Mutual Fund
42547,HDFC NIFTY 100 Equal Weight Index Fund,Large Cap Index,HDFC Mutual Fund
42264,HDFC NIFTY Next 50 Index Fund,Large Cap Index,HDFC Mutual Fund
44764,HDFC NIFTY100 Low Volatility 30 Index Fund,Large Cap Index,HDFC Mutual Fund
42103,HDFC NIFTY50 Equal Weight Index Fund,Large Cap Index,HDFC Mutual Fund
42545,HDFC Nifty 100 Index Fund,Large Cap Index,HDFC Mutual Fund
1218,HDFC Nifty 50 Index Fund,Large Cap Index,HDFC Mutual Fund
45393,HDFC Nifty Top 20 Equal Weight Index Fund,Large Cap Index,HDFC Mutual Fund
45269,HDFC Nifty100 Quality 30 Index Fund,Large Cap Index,HDFC Mutual Fund
41441,HSBC Nifty 50 Index Fund,Large Cap Index,HSBC Mutual Fund
41445,HSBC Nifty Next 50 Index Fund,Large Cap Index,HSBC Mutual Fund
35134,ICICI Prudential BSE Sensex Index Fund,Large Cap Index,ICICI Prudential Mutual Fund
1088,ICICI Prudential Nifty 50 Index Fund,Large Cap Index,ICICI Prudential Mutual Fund
10863,ICICI Prudential Nifty Next 50 Index Fund,Large Cap Index,ICICI Prudential Mutual Fund
45586,ICICI Prudential Nifty Top 15 Equal Weight Index Fund,Large Cap Index,ICICI Prudential Mutual Fund
42990,ICICI Prudential Nifty50 Equal Weight Index Fund,Large Cap Index,ICICI Prudential Mutual Fund
44433,ICICI Prudential Nifty50 Value 20 Index Fund,Large Cap Index,ICICI Prudential Mutual Fund
45261,Kotak BSE Sensex Index Fund,Large Cap Index,Kotak Mahindra Mutual Fund
44709,Kotak NIFTY 100 Low Volatility 30 Index Fund,Large Cap Index,Kotak Mahindra Mutual Fund
45153,Kotak Nifty 100 Equal Weight Index Fund,Large Cap Index,Kotak Mahindra Mutual Fund
45157,Kotak Nifty 50 Equal Weight Index Fund,Large Cap Index,Kotak Mahindra Mutual Fund
41983,Kotak Nifty 50 Index Fund,Large Cap Index,Kotak Mahindra Mutual Fund
41793,Kotak Nifty Next 50 Index Fund,Large Cap Index,Kotak Mahindra Mutual Fund
45449,Kotak Nifty Top 10 Equal Weight Index Fund,Large Cap Index,Kotak Mahindra Mutual Fund
1326,LIC MF BSE Sensex Index Fund,Large Cap Index,LIC Mutual Fund
1325,LIC MF Nifty 50 Index Fund,Large Cap Index,LIC Mutual Fund
11114,LIC MF Nifty Next 50 Index Fund,Large Cap Index,LIC Mutual Fund
44977,Mirae Asset Nifty 50 Index Fund,Large Cap Index,Mirae Asset Mutual Fund
40943,Motilal Oswal Nifty 50 Index Fund,Large Cap Index,Motilal Oswal Mutual Fund
40941,Motilal Oswal Nifty Next 50 Index Fund,Large Cap Index,Motilal Oswal Mutual Fund
44129,Navi BSE Sensex Index Fund,Large Cap Index,Navi Mutual Fund
42041,Navi Nifty 50 Index Fund,Large Cap Index,Navi Mutual Fund
42401,Navi Nifty Next 50 Index Fund,Large Cap Index,Navi Mutual Fund
45545,Nippon India BSE Sensex Next 30 Index Fund,Large Cap Index,Nippon India Mutual Fund
11147,Nippon India Index Fund - Nifty 50 Plan,Large Cap Index,Nippon India Mutual Fund
11152,Nippon India Index Fund BSE Sensex Plan,Large Cap Index,Nippon India Mutual Fund
41757,Nippon India Nifty 50 Value 20 Index Fund,Large Cap Index,Nippon India Mutual Fund
42855,Nippon India Nifty Alpha Low Volatility 30 Index Fund,Large Cap Index,Nippon India Mutual Fund
43931,SBI BSE Sensex Index Fund,Large Cap Index,SBI Mutual Fund
1016,SBI Nifty Index Fund,Large Cap Index,SBI Mutual Fund
41958,SBI Nifty Next 50 Index Fund,Large Cap Index,SBI Mutual Fund
45694,SBI Nifty100 Low Volatility 30 Index Fund,Large Cap Index,SBI Mutual Fund
