scheme_id,et_fund_name,et_category,et_fund_house,mf_scheme_code,mf_scheme_name,mf_scheme_category,isin_growth,match_score,match_status,match_tier,score_gap,candidate_count,alt_candidates
43350,360 ONE ELSS Tax Saver Nifty 50 Index Fund,ELSS,360 One Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
43622,Navi ELSS Tax Saver Nifty 50 Index Fund,ELSS,Navi Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
41971,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund,Large Cap Index,Aditya Birla Sun Life Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
1292,Aditya Birla Sun Life Nifty 50 Index Fund,Large Cap Index,Aditya Birla Sun Life Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
42525,Aditya Birla Sun Life Nifty Next 50 Index Fund,Large Cap Index,Aditya Birla Sun Life Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
44513,Axis BSE Sensex Index Fund,Large Cap Index,Axis Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
40769,Axis Nifty 100 Index Fund,Large Cap Index,Axis Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
42323,Axis Nifty 50 Index Fund,Large Cap Index,Axis Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
42409,Axis Nifty Next 50 Index Fund,Large Cap Index,Axis Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
45481,Bajaj Finserv Nifty 50 Index Fund,Large Cap Index,Bajaj Finserv Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
45461,Bajaj Finserv Nifty Next 50 Index Fund,Large Cap Index,Bajaj Finserv Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
42529,Bandhan Nifty 100 Index Fund,Large Cap Index,Bandhan Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
10787,Bandhan Nifty 50 Index Fund,Large Cap Index,Bandhan Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
45213,Bandhan Nifty Alpha Low Volatility 30 Index Fund,Large Cap Index,Bandhan Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
45338,Bandhan Nifty Next 50 Index Fund,Large Cap Index,Bandhan Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
42986,Bandhan Nifty100 Low Volatility 30 Index Fund,Large Cap Index,Bandhan Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
44350,Baroda BNP Paribas NIFTY 50 Index Fund,Large Cap Index,Baroda BNP Paribas Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
45225,DSP BSE Sensex Next 30 Index Fund,Large Cap Index,DSP Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
35180,DSP Nifty 50 Equal Weight Index Fund,Large Cap Index,DSP Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
39611,DSP Nifty 50 Index Fund,Large Cap Index,DSP Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
39641,DSP Nifty Next 50 Index Fund,Large Cap Index,DSP Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
44852,DSP Nifty Top 10 Equal Weight Index Fund,Large Cap Index,DSP Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
32926,Edelweiss Nifty 100 Quality 30 Index Fund,Large Cap Index,Edelweiss Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
29701,Edelweiss Nifty 50 Index Fund,Large Cap Index,Edelweiss Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
44668,Edelweiss Nifty Alpha Low Volatility 30 Index Fund,Large Cap Index,Edelweiss Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
43246,Edelweiss Nifty Next 50 Index Fund,Large Cap Index,Edelweiss Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
32500,Franklin India NSE Nifty 50 Index,Large Cap Index,Franklin Templeton Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
1219,HDFC BSE Sensex Index Fund,Large Cap Index,HDFC Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
42547,HDFC NIFTY 100 Equal Weight Index Fund,Large Cap Index,HDFC Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
42264,HDFC NIFTY Next 50 Index Fund,Large Cap Index,HDFC Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
44764,HDFC NIFTY100 Low Volatility 30 Index Fund,Large Cap Index,HDFC Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
42103,HDFC NIFTY50 Equal Weight Index Fund,Large Cap Index,HDFC Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
42545,HDFC Nifty 100 Index Fund,Large Cap Index,HDFC Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
1218,HDFC Nifty 50 Index Fund,Large Cap Index,HDFC Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
45393,HDFC Nifty Top 20 Equal Weight Index Fund,Large Cap Index,HDFC Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
45269,HDFC Nifty100 Quality 30 Index Fund,Large Cap Index,HDFC Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
41441,HSBC Nifty 50 Index Fund,Large Cap Index,HSBC Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
41445,HSBC Nifty Next 50 Index Fund,Large Cap Index,HSBC Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
35134,ICICI Prudential BSE Sensex Index Fund,Large Cap Index,ICICI Prudential Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
1088,ICICI Prudential Nifty 50 Index Fund,Large Cap Index,ICICI Prudential Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
10863,ICICI Prudential Nifty Next 50 Index Fund,Large Cap Index,ICICI Prudential Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
45586,ICICI Prudential Nifty Top 15 Equal Weight Index Fund,Large Cap Index,ICICI Prudential Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
42990,ICICI Prudential Nifty50 Equal Weight Index Fund,Large Cap Index,ICICI Prudential Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
44433,ICICI Prudential Nifty50 Value 20 Index Fund,Large Cap Index,ICICI Prudential Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
45261,Kotak BSE Sensex Index Fund,Large Cap Index,Kotak Mahindra Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
44709,Kotak NIFTY 100 Low Volatility 30 Index Fund,Large Cap Index,Kotak Mahindra Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
45153,Kotak Nifty 100 Equal Weight Index Fund,Large Cap Index,Kotak Mahindra Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
45157,Kotak Nifty 50 Equal Weight Index Fund,Large Cap Index,Kotak Mahindra Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
41983,Kotak Nifty 50 Index Fund,Large Cap Index,Kotak Mahindra Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
41793,Kotak Nifty Next 50 Index Fund,Large Cap Index,Kotak Mahindra Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
45449,Kotak Nifty Top 10 Equal Weight Index Fund,Large Cap Index,Kotak Mahindra Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
1326,LIC MF BSE Sensex Index Fund,Large Cap Index,LIC Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
1325,LIC MF Nifty 50 Index Fund,Large Cap Index,LIC Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
11114,LIC MF Nifty Next 50 Index Fund,Large Cap Index,LIC Mutual Fund,,,,,,excluded_index,out_of_scope,,0,
