scheme_id,et_fund_name,et_category,et_fund_house,mf_scheme_code,mf_scheme_name,mf_scheme_category,isin_growth,match_score,match_status,match_tier,score_gap,candidate_count,alt_candidates,review_reason,mapped_mf_scheme_code,map_match_method,already_decided
42348,Axis Multicap Fund,Multi Cap,Axis Mutual Fund,120505.0,Axis Midcap Fund - Direct Plan - Growth,Equity Scheme - Mid Cap Fund,,93.24,approved,review_app,,1,,duplicate_mf_code,120505.0,manual,False
1328,HSBC Large Cap Fund,Large Cap,HSBC Mutual Fund,119018.0,HDFC Large Cap Fund - Growth Option - Direct Plan,Equity Scheme - Large Cap Fund,,94.47,approved,review_app,,1,,duplicate_mf_code,119018.0,manual,False
32529,Sundaram Multi Cap Fund,Multi Cap,Sundaram Mutual Fund,119581.0,Sundaram Mid Cap Fund Direct Plan - Growth,Equity Scheme - Mid Cap Fund,,95.91,approved,review_app,,1,,duplicate_mf_code,119581.0,manual,False
32026,UTI Flexi Cap Fund,Flexi Cap,UTI Mutual Fund,151379.0,ITI Flexi Cap Fund- Direct Plan- Growth,Equity Scheme - Flexi Cap Fund,,99.44,approved,review_app,,1,,duplicate_mf_code,151379.0,manual,False
1233,Sundaram Mid Cap Fund,Mid Cap,Sundaram Mutual Fund,119581.0,Sundaram Mid Cap Fund Direct Plan - Growth,Equity Scheme - Mid Cap Fund,,100.0,auto_ok,name_fuzzy,8.6,881,119589:91.4; 119566:84.5; 119178:83.9,duplicate_mf_code,119581.0,auto,False
1286,Aditya Birla Sun Life Mid Cap Fund,Mid Cap,Aditya Birla Sun Life Mutual Fund,119436.0,Aditya Birla Sun Life Large & Mid Cap Fund - Growth - Direct Plan,Equity Scheme - Large & Mid Cap Fund,,100.0,auto_ok,name_fuzzy,0.4,881,119620:99.6; 119556:96.4; 119528:95.7,duplicate_mf_code,119436.0,auto,False
2420,Franklin India Large & Mid Cap Fund,Large & Mid Cap,Franklin Templeton Mutual Fund,118510.0,Franklin India Large & Mid Cap Fund - Direct - Growth,Equity Scheme - Large & Mid Cap Fund,,100.0,auto_ok,name_fuzzy,0.0,881,118531:100.0; 118533:100.0; 152739:88.9,duplicate_mf_code,118510.0,auto,False
4678,Edelweiss Large & Mid Cap Fund,Large & Mid Cap,Edelweiss Mutual Fund,118617.0,Edelweiss Large Cap Fund - Direct Plan-Growth option,Equity Scheme - Large Cap Fund,,100.0,auto_ok,name_fuzzy,0.0,881,140175:100.0; 140228:98.0; 119218:89.0,duplicate_mf_code,118617.0,auto,False
10108,Edelweiss Large Cap Fund,Large Cap,Edelweiss Mutual Fund,118617.0,Edelweiss Large Cap Fund - Direct Plan-Growth option,Equity Scheme - Large Cap Fund,,100.0,auto_ok,name_fuzzy,2.7,881,140175:97.3; 146196:88.3; 152094:88.3,duplicate_mf_code,118617.0,auto,False
10434,Axis Large Cap Fund,Large Cap,Axis Mutual Fund,120465.0,Axis Large Cap Fund - Direct Plan - Growth,Equity Scheme - Large Cap Fund,,100.0,auto_ok,name_fuzzy,4.5,881,145110:95.5; 125354:83.9; 118479:83.0,duplicate_mf_code,120465.0,auto,False
11656,Axis Midcap Fund,Mid Cap,Axis Mutual Fund,120505.0,Axis Midcap Fund - Direct Plan - Growth,Equity Scheme - Mid Cap Fund,,100.0,auto_ok,name_fuzzy,11.1,881,119071:88.9; 120389:80.0; 150404:79.3,duplicate_mf_code,120505.0,auto,False
28921,LIC MF Large & Mid Cap Fund,Large & Mid Cap,LIC Mutual Fund,120267.0,LIC MF Large Cap Fund-Direct Plan-Growth,Equity Scheme - Large Cap Fund,,100.0,auto_ok,name_fuzzy,0.0,881,133710:100.0; 152002:96.4; 150659:83.3,duplicate_mf_code,120267.0,auto,False
31802,UTI Large Cap Fund,Large Cap,UTI Mutual Fund,120656.0,UTI Large Cap Fund - Direct Plan - Growth Option,Equity Scheme - Large Cap Fund,,100.0,auto_ok,name_fuzzy,5.0,881,120665:95.0; 150440:94.5; 119598:93.9,duplicate_mf_code,120656.0,auto,False
31807,Aditya Birla Sun Life Large & Mid Cap Fund,Large & Mid Cap,Aditya Birla Sun Life Mutual Fund,119436.0,Aditya Birla Sun Life Large & Mid Cap Fund - Growth - Direct Plan,Equity Scheme - Large & Mid Cap Fund,,100.0,auto_ok,name_fuzzy,0.0,881,119528:100.0; 119620:92.2; 119556:89.2,duplicate_mf_code,119436.0,auto,False
31845,Quant Small Cap Fund,Small Cap,Quant Mutual Fund,120828.0,quant Small Cap Fund - Growth Option - Direct Plan,Equity Scheme - Small Cap Fund,,100.0,auto_ok,name_fuzzy,0.0,881,152107:100.0; 147919:89.2; 152614:86.1,duplicate_mf_code,120828.0,auto,False
31881,Tata Large & Mid Cap Fund,Large & Mid Cap,Tata Mutual Fund,119160.0,Tata Large Cap Fund -Direct Plan Growth Option,Equity Scheme - Large Cap Fund,,100.0,auto_ok,name_fuzzy,0.0,881,119202:100.0; 119178:95.0; 120665:93.9,duplicate_mf_code,119160.0,auto,False
31883,HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,119018.0,HDFC Large Cap Fund - Growth Option - Direct Plan,Equity Scheme - Large Cap Fund,,100.0,auto_ok,name_fuzzy,11.7,881,120490:88.3; 130498:87.6; 148353:86.1,duplicate_mf_code,119018.0,auto,False
31894,Franklin India Mid Cap Fund,Mid Cap,Franklin Templeton Mutual Fund,118510.0,Franklin India Large & Mid Cap Fund - Direct - Growth,Equity Scheme - Large & Mid Cap Fund,,100.0,auto_ok,name_fuzzy,0.0,881,118533:100.0; 152739:97.9; 118531:95.7,duplicate_mf_code,118510.0,auto,False
31937,LIC MF Large Cap Fund,Large Cap,LIC Mutual Fund,120267.0,LIC MF Large Cap Fund-Direct Plan-Growth,Equity Scheme - Large Cap Fund,,100.0,auto_ok,name_fuzzy,3.7,881,133710:96.3; 119598:87.1; 120656:87.1,duplicate_mf_code,120267.0,auto,False
32037,UTI Large & Mid Cap Fund,Large & Mid Cap,UTI Mutual Fund,120656.0,UTI Large Cap Fund - Direct Plan - Growth Option,Equity Scheme - Large Cap Fund,,100.0,auto_ok,name_fuzzy,0.0,881,120665:100.0; 120826:96.3; 119202:93.9,duplicate_mf_code,120656.0,auto,False
32210,Tata Large Cap Fund,Large Cap,Tata Mutual Fund,119160.0,Tata Large Cap Fund -Direct Plan Growth Option,Equity Scheme - Large Cap Fund,,100.0,auto_ok,name_fuzzy,4.5,881,119202:95.5; 120656:91.5; 118870:90.0,duplicate_mf_code,119160.0,auto,False
